County,FIPS.code,Population,AreaSQMILES,x_lat,y_long,,,,,,
Wilbarger ,487,12764,971 ,-99.24089568,34.08044953,,,,,,
Willacy ,489,21584,597 ,-97.64303323,26.47132899,,,,,,
Williamson ,491,547545,"1,124 ",-97.60105467,30.64834941,,,,,,
Wilson ,493,49304,807 ,-98.08621015,29.17315896,,,,,,
Winkler ,495,7574,841 ,-103.0484794,31.85008609,,,,,,
Wise ,497,66181,905 ,-97.65444124,33.21585061,,,,,,
Wood ,499,44314,650 ,-95.38206498,32.78634374,,,,,,
Yoakum ,501,8568,800 ,-102.8278792,33.17293501,,,,,,
Young ,503,17979,922 ,-98.68781396,33.17670764,,,,,,
Zapata ,505,14322,997,-99.16860134,27.00089072,,,,,,
Zavala ,507,11948,"1,299 ",-99.76102001,28.86530621,,,,,,
